t,E1,Emass,Ebound,delta,5,6,Model,CFL,Res,nCells
0.5,0.009336542928702061,4.163336342344337e-17,4.560228598308954e-21,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL005,10,10.000000000000007
0.5,0.0033153455751501557,2.775557561562892e-17,3.61932706027801e-14,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL005,20,20.00000000000001
0.5,0.0008962116704510484,0.0,7.371880883511038e-14,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL005,40,39.99999999999968
0.5,0.00026647837090532675,8.049116928532385e-16,5.989525452911897e-16,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL005,80,80.00000000000341
0.5,0.00014975247726165347,1.5210055437364645e-14,2.2204460492503126e-16,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL005,160,159.99999999996922
0.5,4.9529292208802815e-05,5.0154325137441447e-14,8.470329472543003e-22,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL005,320,320.0000000002603
0.5,0.00857065198845281,5.551115123125784e-17,4.002671071928298e-14,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL01,10,10.000000000000007
0.5,0.0031119907440600118,2.775557561562892e-17,1.709743457922741e-14,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL01,20,20.00000000000001
0.5,0.0008374781514221142,1.1102230246251563e-16,9.769962616701376e-15,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL01,40,39.99999999999968
0.5,0.00025372259711616923,4.718447854656915e-16,1.6164847238542282e-13,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL01,80,80.00000000000341
0.5,0.00015482758998931873,1.5598633495983446e-14,6.058337979253116e-19,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL01,160,159.99999999996922
0.5,5.679457965740581e-05,2.5507373990762968e-14,2.2204460492503126e-16,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL01,320,320.0000000002603
0.5,0.007164766769883971,4.163336342344337e-17,2.8105435323603316e-14,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL02,10,10.000000000000007
0.5,0.0026046032469133357,4.163336342344337e-17,3.393723246254604e-15,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL02,20,20.00000000000001
0.5,0.0007351444578035583,2.775557561562892e-17,3.27194864751499e-15,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL02,40,39.99999999999968
0.5,0.00027303641851953234,1.6653345369377348e-16,7.993605777301127e-15,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL02,80,80.00000000000341
0.5,0.00020504522262703288,1.0269562977782698e-14,4.707803559786773e-15,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL02,160,159.99999999996922
0.5,8.14327673800777e-05,1.9789725413943412e-14,7.84491573818426e-15,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL02,320,320.0000000002603
0.5,0.004321598291770295,0.0,1.7285582687431874e-13,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL05,10,10.000000000000007
0.5,0.0017253797536206752,1.3877787807814457e-17,2.2204460492503126e-16,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL05,20,20.00000000000001
0.5,0.0011428247041199349,5.551115123125784e-17,4.440892098500625e-16,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL05,40,39.99999999999968
0.5,0.0006811994922397561,9.71445146547012e-16,2.9997737628152883e-17,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL05,80,80.00000000000341
0.5,0.0004517376056475583,8.326672684688674e-15,2.2204460492503126e-16,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL05,160,159.99999999996922
0.5,0.00021082617015246165,2.656208586415687e-14,2.2204460492503126e-16,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL05,320,320.0000000002603
0.5,0.008923902728673305,1.3877787807814457e-17,6.184584477090066e-13,0.09999999999999992,100.0,0.010000000000000007,plicRDF,CFL005,10,10.000000000000007
0.5,0.002658860083078263,3.747002708109903e-16,8.704148513061227e-14,0.049999999999999975,400.0,0.002499999999999994,plicRDF,CFL005,20,20.00000000000001
0.5,0.000820436268625079,2.2204460492503126e-16,6.05902424279237e-14,0.0250000000000002,1600.0,0.0006249999999999893,plicRDF,CFL005,40,39.99999999999968
0.5,0.0002029117113856609,2.775557561562892e-17,4.783955809253246e-14,0.012499999999999466,6400.0,0.0001562499999999899,plicRDF,CFL005,80,80.00000000000341
0.5,4.970181179692245e-05,1.357247647604254e-14,5.169878828456423e-26,0.0062500000000012025,25600.0,3.906249999998661e-05,plicRDF,CFL005,160,159.99999999996922
0.5,1.571876030036039e-05,4.3048897779840445e-14,1.6543612251060552e-24,0.0031249999999974584,102400.0,9.765624999992492e-06,plicRDF,CFL005,320,320.0000000002603
0.5,0.008073401526183015,4.163336342344337e-17,8.859579736508749e-14,0.09999999999999992,100.0,0.010000000000000007,plicRDF,CFL01,10,10.000000000000007
0.5,0.002554763472133337,3.6082248300317592e-16,6.306066779870889e-14,0.049999999999999975,400.0,0.002499999999999994,plicRDF,CFL01,20,20.00000000000001
0.5,0.000774811692457953,1.6653345369377348e-16,2.708944180085382e-14,0.0250000000000002,1600.0,0.0006249999999999893,plicRDF,CFL01,40,39.99999999999968
0.5,0.0001898001654969036,3.3306690738754696e-16,9.99200722162641e-15,0.012499999999999466,6400.0,0.0001562499999999899,plicRDF,CFL01,80,80.00000000000341
0.5,5.340084058035265e-05,1.5126788710517758e-14,5.906386491005833e-14,0.0062500000000012025,25600.0,3.906249999998661e-05,plicRDF,CFL01,160,159.99999999996922
0.5,1.8888501938162965e-05,3.422262473407045e-14,9.168222364158925e-15,0.0031249999999974584,102400.0,9.765624999992492e-06,plicRDF,CFL01,320,320.0000000002603
0.5,0.006376250839587162,2.775557561562892e-17,1.8219141838970385e-14,0.09999999999999992,100.0,0.010000000000000007,plicRDF,CFL02,10,10.000000000000007
0.5,0.0022070229967764204,2.775557561562892e-17,1.1546319456101628e-14,0.049999999999999975,400.0,0.002499999999999994,plicRDF,CFL02,20,20.00000000000001
0.5,0.0006715886672569678,5.551115123125784e-17,1.1102230246251563e-15,0.0250000000000002,1600.0,0.0006249999999999893,plicRDF,CFL02,40,39.99999999999968
0.5,0.0002049157403410011,2.2204460492503126e-16,8.88178419700125e-16,0.012499999999999466,6400.0,0.0001562499999999899,plicRDF,CFL02,80,80.00000000000341
0.5,9.3165009990826e-05,9.492406860545088e-15,5.516698209362285e-15,0.0062500000000012025,25600.0,3.906249999998661e-05,plicRDF,CFL02,160,159.99999999996922
0.5,3.428324266967146e-05,3.097522238704187e-14,2.2204460492503126e-16,0.0031249999999974584,102400.0,9.765624999992492e-06,plicRDF,CFL02,320,320.0000000002603
0.5,0.0037257011727472368,1.3877787807814457e-17,7.433785031009138e-16,0.09999999999999992,100.0,0.010000000000000007,plicRDF,CFL05,10,10.000000000000007
0.5,0.0017615990414651672,2.775557561562892e-17,1.4675545688159566e-15,0.049999999999999975,400.0,0.002499999999999994,plicRDF,CFL05,20,20.00000000000001
0.5,0.001249319640436071,1.1102230246251563e-16,7.125805816102197e-18,0.0250000000000002,1600.0,0.0006249999999999893,plicRDF,CFL05,40,39.99999999999968
0.5,0.0007460197259550206,1.304512053934559e-15,2.392761566625153e-18,0.012499999999999466,6400.0,0.0001562499999999899,plicRDF,CFL05,80,80.00000000000341
0.5,0.0004345638116885885,8.798517470154366e-15,2.255140518769849e-17,0.0062500000000012025,25600.0,3.906249999998661e-05,plicRDF,CFL05,160,159.99999999996922
0.5,0.000217351470675692,2.708944180085382e-14,2.2204460492503126e-16,0.0031249999999974584,102400.0,9.765624999992492e-06,plicRDF,CFL05,320,320.0000000002603
0.5,0.017966540174028354,1.3877787807814457e-17,5.440473393046901e-19,0.09999999999999992,100.0,0.010000000000000007,MULES,CFL005,10,10.000000000000007
0.5,0.010804121173430556,1.1102230246251563e-16,1.1068345577783724e-18,0.049999999999999975,400.0,0.002499999999999994,MULES,CFL005,20,20.00000000000001
0.5,0.00549826696837152,8.326672684688674e-17,7.985399586672083e-19,0.0250000000000002,1600.0,0.0006249999999999893,MULES,CFL005,40,39.99999999999968
0.5,0.002667096121449973,3.05311331771918e-16,1.3893653534905342e-18,0.012499999999999466,6400.0,0.0001562499999999899,MULES,CFL005,80,80.00000000000341
0.5,0.001253628129769229,4.440892098500625e-16,1.598977930731993e-18,0.0062500000000012025,25600.0,3.906249999998661e-05,MULES,CFL005,160,159.99999999996922
0.5,0.0006047808327447101,8.326672684688673e-16,4.218847493575595e-15,0.0031249999999974584,102400.0,9.765624999992492e-06,MULES,CFL005,320,320.0000000002603
0.5,0.01904602738914812,1.3877787807814457e-17,2.711883032452263e-19,0.09999999999999992,100.0,0.010000000000000007,MULES,CFL01,10,10.000000000000007
0.5,0.01194429703963011,1.3877787807814457e-17,1.9265867191106557e-18,0.049999999999999975,400.0,0.002499999999999994,MULES,CFL01,20,20.00000000000001
0.5,0.006038557253856273,5.551115123125784e-17,2.2956895890539442e-18,0.0250000000000002,1600.0,0.0006249999999999893,MULES,CFL01,40,39.99999999999968
0.5,0.0029401088927917696,2.7755575615628914e-16,4.453066703957499e-15,0.012499999999999466,6400.0,0.0001562499999999899,MULES,CFL01,80,80.00000000000341
0.5,0.0013791574150069303,4.718447854656915e-16,2.1691572789915304e-14,0.0062500000000012025,25600.0,3.906249999998661e-05,MULES,CFL01,160,159.99999999996922
0.5,0.0006675013336575141,1.0269562977782698e-15,2.753353101070388e-14,0.0031249999999974584,102400.0,9.765624999992492e-06,MULES,CFL01,320,320.0000000002603
0.5,0.02300767084760408,0.0,3.096087451580391e-19,0.09999999999999992,100.0,0.010000000000000007,MULES,CFL02,10,10.000000000000007
0.5,0.015046451447235482,4.163336342344337e-17,4.000851391147264e-11,0.049999999999999975,400.0,0.002499999999999994,MULES,CFL02,20,20.00000000000001
0.5,0.00778649943404131,8.326672684688674e-17,2.5862539457491394e-09,0.0250000000000002,1600.0,0.0006249999999999893,MULES,CFL02,40,39.99999999999968
0.5,0.003747833584883375,1.582067810090848e-15,1.1183663731679126e-11,0.012499999999999466,6400.0,0.0001562499999999899,MULES,CFL02,80,80.00000000000341
0.5,0.0017934648971866336,4.996003610813204e-16,2.620126338115369e-14,0.0062500000000012025,25600.0,3.906249999998661e-05,MULES,CFL02,160,159.99999999996922
0.5,0.0008912777566346273,1.1657341758564144e-15,1.1546319456101628e-14,0.0031249999999974584,102400.0,9.765624999992492e-06,MULES,CFL02,320,320.0000000002603
0.5,0.05138592513527802,2.775557561562892e-17,2.5597102678281763e-05,0.09999999999999992,100.0,0.010000000000000007,MULES,CFL05,10,10.000000000000007
0.5,0.033909736654492595,4.163336342344337e-17,0.005026885431455908,0.049999999999999975,400.0,0.002499999999999994,MULES,CFL05,20,20.00000000000001
0.5,0.018211359254918288,1.1102230246251563e-16,2.1935289291619142e-06,0.0250000000000002,1600.0,0.0006249999999999893,MULES,CFL05,40,39.99999999999968
0.5,0.009932523857672975,1.4432899320127037e-15,0.007067555147523441,0.012499999999999466,6400.0,0.0001562499999999899,MULES,CFL05,80,80.00000000000341
0.5,0.00670460466187465,7.271960811294775e-15,0.08454532029597539,0.0062500000000012025,25600.0,3.906249999998661e-05,MULES,CFL05,160,159.99999999996922
0.5,0.005368315646385965,2.273181642920008e-14,0.11606880666193672,0.0031249999999974584,102400.0,9.765624999992492e-06,MULES,CFL05,320,320.0000000002603
